title_year,movie_title,imdb_score,num_voted_users
2013,The Great Gatsby ,7.3,362912
2010,Prince of Persia: The Sands of Time ,6.6,222403
2013,Pacific Rim ,7,381148
2011,Transformers: Dark of the Moon ,6.3,326180
2008,Indiana Jones and the Kingdom of the Crystal Skull ,6.2,333847
2015,The Good Dinosaur ,6.8,62836
2012,Brave ,7.2,273556
2016,Star Trek Beyond ,7.5,53607
2008,WALL·E ,8.4,718837
2007,Rush Hour 3 ,6.2,121084
2009,2012,5.8,283418
2009,A Christmas Carol ,6.8,72809
2015,Jupiter Ascending ,5.4,139593
2016,The Legend of Tarzan ,6.6,42372
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9,286506
2016,X-Men: Apocalypse ,7.3,148379
2008,The Dark Knight ,9,1676169
2009,Up ,8.3,665575
2009,Monsters vs. Aliens ,6.5,114553
2008,Iron Man ,7.9,696338
2011,Hugo ,7.5,245333
1999,Wild Wild West ,4.8,129601
2008,The Mummy: Tomb of the Dragon Emperor ,5.2,117927
2016,Suicide Squad ,6.9,118992
2007,Evan Almighty ,5.4,115099
2014,Edge of Tomorrow ,7.9,431620
1995,Waterworld ,6.1,144337
2009,G.I. Joe: The Rise of Cobra ,5.8,174578
2015,Inside Out ,8.3,345198
2016,The Jungle Book ,7.8,106072
2010,Iron Man 2 ,7,522371
2012,Snow White and the Huntsman ,6.1,228554
2014,Maleficent ,7,252257
2014,Dawn of the Planet of the Apes ,7.6,317542
2015,The Lovers ,4.5,2138
2013,47 Ronin ,6.3,116994
2014,Captain America: The Winter Soldier ,7.8,496749
2010,Shrek Forever After ,6.4,138661
2015,Tomorrowland ,6.5,128306
2014,Big Hero 6 ,7.9,279093
2012,Wreck-It Ralph ,7.8,272534
2004,The Polar Express ,6.6,120798
2016,Independence Day: Resurgence ,5.5,58137
2010,How to Train Your Dragon ,8.2,485430
2003,Terminator 3: Rise of the Machines ,6.4,305340
2014,Guardians of the Galaxy ,8.1,682155
2014,Interstellar ,8.6,928227
2010,Inception ,8.8,1468200
2016,Godzilla Resurgence ,8.2,374
2012,The Hobbit: An Unexpected Journey ,7.9,637246
2001,The Fast and the Furious ,6.7,272223
2008,The Curious Case of Benjamin Button ,7.8,459346
2011,X-Men: First Class ,7.8,518537
2015,The Hunger Games: Mockingjay - Part 2 ,6.6,166137
2010,The Sorcerer's Apprentice ,6.1,124185
2006,Poseidon ,5.6,82380
2016,Alice Through the Looking Glass ,6.4,21352
2007,Shrek the Third ,6.1,211971
2016,Warcraft ,7.3,111609
2015,Terminator Genisys ,6.6,188457
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3,106446
2001,Pearl Harbor ,6.1,254111
2007,Transformers ,7.1,513158
2004,Alexander ,5.5,138863
2007,Harry Potter and the Order of the Phoenix ,7.5,355137
2005,Harry Potter and the Goblet of Fire ,7.6,385670
2008,Hancock ,6.4,343648
2007,I Am Legend ,7.2,530870
2005,Charlie and the Chocolate Factory ,6.7,320284
2007,Ratatouille ,8,473887
2005,Batman Begins ,8.3,980946
2008,Madagascar: Escape 2 Africa ,6.7,146019
2009,Night at the Museum: Battle of the Smithsonian ,5.9,130272
2009,X-Men Origins: Wolverine ,6.7,361924
2003,The Matrix Revolutions ,6.7,364948
2013,Frozen ,7.6,421658
2003,The Matrix Reloaded ,7.2,421818
2013,Thor: The Dark World ,7.1,414070
2015,Mad Max: Fury Road ,8.1,552503
2009,Angels & Demons ,6.7,207839
2011,Thor ,7,536314
2008,Bolt ,6.9,146766
2009,G-Force ,5.1,33042
2012,Wrath of the Titans ,5.8,152826
2012,Dark Shadows ,6.2,199039
2015,Mission: Impossible - Rogue Nation ,7.4,232187
2010,The Wolfman ,5.8,89442
2016,The Legend of Tarzan ,6.6,42372
2007,Bee Movie ,6.2,105902
2011,Kung Fu Panda 2 ,7.3,182718
2010,The Last Airbender ,4.2,118951
2006,Mission: Impossible III ,6.9,256695
2013,White House Down ,6.4,164238
2011,Mars Needs Moms ,5.4,17590
2006,Flushed Away ,6.7,85086
2015,Pan ,5.8,39956
2014,Mr. Peabody & Sherman ,6.9,47900
2004,Troy ,7.2,381672
2012,Madagascar 3: Europe's Most Wanted ,6.9,119213
2002,Die Another Day ,6.1,169914
2016,Ghostbusters ,5.5,69757
1998,Armageddon ,6.6,322395
2002,Men in Black II ,6.1,270207
2007,Beowulf ,6.3,142440
2016,Kung Fu Panda 3 ,7.2,64322
2011,Mission: Impossible - Ghost Protocol ,7.4,365104
2012,Rise of the Guardians ,7.3,123553
2005,Fun with Dick and Jane ,6.1,110788
2003,The Last Samurai ,7.7,317166
2014,Exodus: Gods and Kings ,6.1,128682
2009,Star Trek ,8,504419
2002,Spider-Man ,7.3,544665
2014,How to Train Your Dragon 2 ,7.9,221128
2016,Gods of Egypt ,5.5,51892
2005,Stealth ,5,45455
2009,Watchmen ,7.7,392474
1998,Lethal Weapon 4 ,6.6,127497
2003,Hulk ,5.7,212106
2013,G.I. Joe: Retaliation ,5.8,146352
2005,Sahara ,6,77673
2001,Final Fantasy: The Spirits Within ,6.4,72259
2011,Captain America: The First Avenger ,6.9,508818
1999,The World Is Not Enough ,6.4,157519
2003,Master and Commander: The Far Side of the World ,7.4,168207
2012,The Twilight Saga: Breaking Dawn - Part 2 ,5.5,185394
2011,Happy Feet 2 ,5.9,32399
2008,The Incredible Hulk ,6.8,326286
,Miami Vice             ,7.5,16769
2016,The BFG ,6.8,12572
2015,The Revenant ,8.1,406020
2013,Turbo ,6.5,62424
2011,Rango ,7.2,183208
2014,Penguins of Madagascar ,6.7,60230
2007,The Bourne Ultimatum ,8.1,491077
2008,Kung Fu Panda ,7.6,307029
2015,Ant-Man ,7.4,313866
2013,The Hunger Games: Catching Fire ,7.6,498397
2012,The Twilight Saga: Breaking Dawn - Part 2 ,5.5,185394
2015,Home ,6.7,70121
2005,War of the Worlds ,6.5,334345
2003,Bad Boys II ,6.6,178126
2011,Puss in Boots ,6.7,114287
2010,Salt ,6.4,245621
2014,Noah ,5.8,200022
2011,The Adventures of Tintin ,7.4,177383
2004,Harry Potter and the Prisoner of Azkaban ,7.8,382255
2008,Australia ,6.6,102338
2013,After Earth ,4.9,158720
2000,Dinosaur ,6.5,38438
2011,Harry Potter and the Deathly Hallows: Part II ,7.5,381
2014,Night at the Museum: Secret of the Tomb ,6.2,67223
2010,Megamind ,7.3,172754
2001,Harry Potter and the Sorcerer's Stone ,7.5,444683
2013,R.I.P.D. ,5.6,91640
2016,Godzilla Resurgence ,8.2,374
2003,Pirates of the Caribbean: The Curse of the Black Pearl ,8.1,809474
2010,Harry Potter and the Deathly Hallows: Part I ,6.4,252
2014,The Hunger Games: Mockingjay - Part 1 ,6.7,305008
2006,The Da Vinci Code ,6.6,314253
2014,Rio 2 ,6.4,58498
2003,X-Men 2 ,7.5,405973
2011,Fast Five ,7.3,284792
2011,Sherlock Holmes: A Game of Shadows ,7.5,338635
2010,Clash of the Titans ,5.8,229679
1990,Total Recall ,7.5,240241
1999,The 13th Warrior ,6.6,101411
2012,The Bourne Legacy ,6.7,229823
1997,Batman & Robin ,3.7,189855
2000,How the Grinch Stole Christmas ,6,141414
2004,The Day After Tomorrow ,6.4,333248
2000,Mission: Impossible II ,6.1,242188
2000,The Perfect Storm ,6.4,133076
2007,Fantastic 4: Rise of the Silver Surfer ,5.6,213275
2012,Life of Pi ,8,440084
2007,Ghost Rider ,5.2,182661
2016,Jason Bourne ,7.1,40123
2003,Charlie's Angels: Full Throttle ,4.8,100821
2012,Prometheus ,7,456260
2002,Stuart Little 2 ,5.4,36471
2013,Elysium ,6.6,338087
2004,The Chronicles of Riddick ,6.7,183909
2014,RoboCop ,6.2,182899
2008,Speed Racer ,6.1,57873
2010,How Do You Know ,5.3,35066
2010,Knight and Day ,6.3,148280
2013,Oblivion ,7,387436
2005,Star Wars: Episode III - Revenge of the Sith ,7.6,520104
2002,Star Wars: Episode II - Attack of the Clones ,6.7,464310
2001,"Monsters, Inc. ",8.1,585659
2013,The Wolverine ,6.7,328067
1999,Star Wars: Episode I - The Phantom Menace ,6.5,534658
2013,The Croods ,7.3,150618
2008,Asterix at the Olympic Games ,5.1,20567
2002,Windtalkers ,6,55994
2016,The Huntsman: Winter's War ,6.1,37750
2014,Teenage Mutant Ninja Turtles ,5.9,167085
2013,Gravity ,7.8,582917
1997,Dante's Peak ,5.8,62271
2016,Teenage Mutant Ninja Turtles: Out of the Shadows ,6.3,17533
2015,Fantastic Four ,4.3,110486
2006,Night at the Museum ,6.4,234480
2015,San Andreas ,6.1,147497
1997,Tomorrow Never Dies ,6.5,149680
2000,The Patriot ,7.1,207613
2004,Ocean's Twelve ,6.4,284852
2005,Mr. & Mrs. Smith ,6.5,348861
2015,Insurgent ,6.3,154621
2004,The Aviator ,7.5,264318
2010,Gulliver's Travels ,4.9,53160
2011,The Green Hornet ,5.8,136019
,The A-Team             ,7.6,25402
2014,300: Rise of an Empire ,6.2,225273
2011,The Smurfs ,5.5,66593
2004,Home on the Range ,5.4,13581
2016,Allegiant ,5.8,44296
2011,Real Steel ,7.1,254841
2013,The Smurfs 2 ,5.4,27257
1997,Speed 2: Cruise Control ,3.7,60573
2013,Ender's Game ,6.7,184561
2007,Live Free or Die Hard ,7.2,336235
2001,The Lord of the Rings: The Fellowship of the Ring ,8.8,1238746
2004,Around the World in 80 Days ,5.8,68720
2001,Ali ,6.8,79186
2003,The Cat in the Hat ,3.8,36033
2004,"I, Robot ",7.1,387632
2005,Kingdom of Heaven ,7.2,217373
1999,Stuart Little ,5.9,94172
2009,The Princess and the Frog ,7.1,89351
2015,The Martian ,8.1,472488
,"10,000 B.C.             ",7.2,6
2005,The Island ,6.9,263329
2001,Town & Country ,4.4,4102
2000,Gone in Sixty Seconds ,6.5,218341
2000,Gladiator ,8.5,982637
2002,Minority Report ,7.7,399651
2002,Harry Potter and the Chamber of Secrets ,7.4,387616
2006,Casino Royale ,8,470483
2001,Planet of the Apes ,5.7,177725
1991,Terminator 2: Judgment Day ,8.5,744891
2009,Public Enemies ,7,230931
2007,American Gangster ,7.8,324671
1994,True Lies ,7.2,190439
2009,The Taking of Pelham 1 2 3 ,6.4,149998
2010,Little Fockers ,5.5,85531
2010,The Other Guys ,6.7,189806
1996,Eraser ,6.1,84424
2012,Django Unchained ,8.5,955174
1996,The Hunchback of Notre Dame ,6.9,102933
2000,The Emperor's New Groove ,7.3,128285
2012,The Expendables 2 ,6.7,246803
2004,National Treasure ,6.9,255447
2006,Eragon ,5.1,108076
2009,Where the Wild Things Are ,6.8,87677
2015,Pan ,5.8,39956
2013,Epic ,6.7,85833
2010,The Tourist ,6,176598
1999,End of Days ,5.7,89509
2006,Blood Diamond ,8,400292
2013,The Wolf of Wall Street ,8.2,780588
1995,Batman Forever ,5.4,190786
1997,Starship Troopers ,7.2,221521
2012,Cloud Atlas ,7.5,284825
2010,Legend of the Guardians: The Owls of Ga'Hoole ,7,65785
2004,Catwoman ,3.3,87451
2014,Hercules ,6,115687
2002,Treasure Planet ,7.1,71527
2009,Land of the Lost ,5.4,52029
2014,The Expendables 3 ,6.1,127258
2015,Point Break ,5.3,33953
2005,Son of the Mask ,2.2,40751
2015,In the Heart of the Sea ,7,71782
2002,The Adventures of Pluto Nash ,3.8,20295
2010,Green Zone ,6.9,110364
2015,The Peanuts Movie ,7.2,27918
1997,The Spanish Prisoner ,7.3,18697
2001,The Mummy Returns ,6.3,248045
2002,Gangs of New York ,7.5,314033
2011,The Flowers of War ,7.6,38690
2007,Surf's Up ,6.8,54077
2004,The Stepford Wives ,5.2,49739
2001,Black Hawk Down ,7.7,292022
2012,The Campaign ,6.2,106790
1997,The Fifth Element ,7.7,343274
2010,Sex and the City 2 ,4.3,59581
2000,The Road to El Dorado ,6.9,58300
2012,Ice Age: Continental Drift ,6.6,145321
2015,Cinderella ,7,103737
2009,The Lovely Bones ,6.7,125109
2003,Finding Nemo ,8.2,692482
2003,The Lord of the Rings: The Return of the King ,8.9,1215718
2002,The Lord of the Rings: The Two Towers ,8.7,1100446
2014,Seventh Son ,5.5,54501
2001,Lara Croft: Tomb Raider ,5.7,157016
2014,Transcendence ,6.3,172707
2001,Jurassic Park III ,5.9,219501
2011,Rise of the Planet of the Apes ,7.6,403836
2008,The Spiderwick Chronicles ,6.6,68935
2013,A Good Day to Die Hard ,5.3,165618
2004,The Alamo ,6,16832
2004,The Incredibles ,8,479166
1995,Cutthroat Island ,5.6,21102
2010,Percy Jackson & the Olympians: The Lightning Thief ,5.9,141179
1997,Men in Black ,7.3,403014
1999,Toy Story 2 ,7.9,385871
2010,Unstoppable ,6.8,149947
2001,Rush Hour 2 ,6.6,160440
2000,What Lies Beneath ,6.6,98403
2009,Cloudy with a Chance of Meatballs ,7,152601
2009,Ice Age: Dawn of the Dinosaurs ,7,166791
2013,The Secret Life of Walter Mitty ,7.3,236421
2000,Charlie's Angels ,5.5,145350
2006,The Departed ,8.5,873649
1998,Mulan ,7.5,171792
2008,Tropic Thunder ,7,307539
2011,The Girl with the Dragon Tattoo ,7.8,330152
1995,Die Hard with a Vengeance ,7.6,299258
2009,Sherlock Holmes ,7.6,477300
2016,Ben-Hur ,6.1,57
2001,Atlantis: The Lost Empire ,6.8,72591
2015,Alvin and the Chipmunks: The Road Chip ,5,9418
2008,Valkyrie ,7.1,183247
2008,You Don't Mess with the Zohan ,5.5,156348
2015,Pixels ,5.6,89770
2001,A.I. Artificial Intelligence ,7.1,238747
2003,The Haunted Mansion ,4.9,32049
1997,Contact ,7.4,200556
2000,Hollow Man ,5.7,101834
2005,The Interpreter ,6.4,86152
2013,Percy Jackson: Sea of Monsters ,5.9,86627
2003,Lara Croft Tomb Raider: The Cradle of Life ,5.5,102747
2016,Now You See Me 2 ,6.9,40862
1997,The Saint ,6.2,52136
2001,Spy Game ,7,121259
2000,Mission to Mars ,5.6,60467
2011,Rio ,7,165333
1999,Bicentennial Man ,6.8,87785
1997,Volcano ,5.4,58227
1997,The Devil's Own ,6.1,45602
2002,K-19: The Widowmaker ,6.7,49311
2015,Fantastic Four ,4.3,110486
1982,Conan the Barbarian ,6.9,113065
2005,Cinderella Man ,8,148238
2010,The Nutcracker in 3D ,4.4,2508
2003,Seabiscuit ,7.3,57661
1996,Twister ,6.3,144053
2001,The Fast and the Furious ,6.7,272223
2000,Cast Away ,7.7,394317
2006,Happy Feet ,6.5,132501
2004,The Bourne Supremacy ,7.8,348232
1997,Air Force One ,6.4,146134
2001,Ocean's Eleven ,7.8,402645
2011,The Three Musketeers ,5.8,88542
2012,Hotel Transylvania ,7.1,164148
2007,Enchanted ,7.1,142496
,Hannibal             ,8.6,159910
2012,Safe House ,6.8,166693
2000,102 Dalmatians ,4.8,26413
2011,Tower Heist ,6.2,110073
2006,The Holiday ,6.9,182757
1998,Enemy of the State ,7.3,188116
2009,It's Complicated ,6.6,69860
2007,Ocean's Thirteen ,6.9,256928
2006,Open Season ,6.2,65270
2014,Divergent ,6.7,341058
2001,Enemy at the Gates ,7.6,188887
2003,The Rundown ,6.7,82731
1993,Last Action Hero ,6.2,106528
2005,Memoirs of a Geisha ,7.3,119286
2006,The Fast and the Furious: Tokyo Drift ,6,179500
2011,Arthur Christmas ,7.1,35446
1998,Meet Joe Black ,7.1,169023
2002,Collateral Damage ,5.5,61417
1979,All That Jazz ,7.8,19228
2012,Mirror Mirror ,5.6,70838
2010,Scott Pilgrim vs. the World ,7.5,273921
2003,The Core ,5.4,77029
2000,Nutty Professor II: The Klumps ,4.3,39391
2002,Scooby-Doo ,4.9,71424
2012,Dredd ,7.1,203458
2006,Click ,6.4,246492
1982,Creepshow ,6.9,29932
2010,Cats & Dogs: The Revenge of Kitty Galore ,4.3,10233
2008,Jumper ,6.1,243053
2008,Hellboy II: The Golden Army ,7,208422
2007,Zodiac ,7.7,301279
2000,The 6th Day ,5.9,100001
2003,Bruce Almighty ,6.7,296904
2010,The Expendables ,6.5,270226
1996,Mission: Impossible ,7.1,300542
2012,The Hunger Games ,7.3,701607
2011,The Hangover Part II ,6.5,375879
1992,Batman Returns ,7,215255
2006,Over the Hedge ,6.8,127345
2002,Lilo & Stitch ,7.2,117212
2006,Charlotte's Web ,6.4,27838
1998,Deep Impact ,6.1,135601
2013,RED 2 ,6.7,125036
2005,The Longest Yard ,6.4,130070
2011,Alvin and the Chipmunks: Chipwrecked ,4.4,22838
2013,Grown Ups 2 ,5.4,107817
2008,Get Smart ,6.5,168172
2003,Something's Gotta Give ,6.7,91092
2010,Shutter Island ,8.1,786092
2008,Four Christmases ,5.6,48500
2005,Robots ,6.3,103022
1997,Face/Off ,7.3,283967
2008,Bedtime Stories ,6.1,72326
2002,Road to Perdition ,7.7,200359
2011,Just Go with It ,6.4,172878
,Daredevil             ,8.8,213483
1997,Con Air ,6.8,225282
2008,Eagle Eye ,6.6,150764
2003,Cold Mountain ,7.2,118483
2010,The Book of Eli ,6.9,227072
1997,Flubber ,5.2,63625
1999,The Haunting ,4.9,58184
1996,Space Jam ,6.3,112167
2006,The Pink Panther ,5.6,65499
2008,The Day the Earth Stood Still ,5.5,139423
1997,Conspiracy Theory ,6.7,76099
2014,Fury ,7.6,303185
1998,Six Days Seven Nights ,5.7,60910
2010,Yogi Bear ,4.6,16385
2002,Spirit: Stallion of the Cimarron ,7,44143
2011,Zookeeper ,5.2,44662
1998,Lost in Space ,5.1,58402
2004,The Manchurian Candidate ,6.6,86422
1997,Déjà Vu ,7,666
2015,Hotel Transylvania 2 ,6.7,56501
,Bewitched             ,7.6,11427
1999,Fantasia 2000 ,7.3,27543
2002,The Time Machine ,5.9,103787
1998,Mighty Joe Young ,5.6,22955
2001,Swordfish ,6.5,155532
2005,The Legend of Zorro ,5.9,71574
1998,What Dreams May Come ,7,83560
2000,Little Nicky ,5.3,80639
2005,The Brothers Grimm ,5.9,98472
1996,Mars Attacks! ,6.3,172217
2015,Evolution ,6.4,979
1997,The Edge ,6.9,55913
2009,Surrogates ,6.3,151424
2000,Thirteen Days ,7.3,45231
1996,Daylight ,5.8,53132
2013,Walking with Dinosaurs 3D ,5.2,8913
2000,Battlefield Earth ,2.4,65464
2003,Looney Tunes: Back in Action ,5.7,24183
2009,Nine ,5.8,37446
2003,Timeline ,5.6,53057
1997,The Postman ,6,56403
1998,Babe: Pig in the City ,5.8,24868
2015,The Last Witch Hunter ,6,58752
2000,Red Planet ,5.7,47612
2006,Arthur and the Invisibles ,6,25843
2009,Oceans ,7.8,7630
2005,A Sound of Thunder ,4.2,16474
2014,Pompeii ,5.6,84508
2015,Top Cat Begins ,4.4,230
2001,A Beautiful Mind ,8.2,610568
1994,The Lion King ,8.5,644348
2012,Journey 2: The Mysterious Island ,5.8,67296
2013,Cloudy with a Chance of Meatballs 2 ,6.5,64387
2002,Red Dragon ,7.2,204063
2004,Hidalgo ,6.7,67856
2011,Jack and Jill ,3.4,60370
2003,2 Fast 2 Furious ,5.9,191912
2015,The Little Prince ,7.8,28276
2007,The Invasion ,5.9,65037
2000,The Adventures of Rocky & Bullwinkle ,4.1,16611
2016,The Secret Life of Pets ,6.8,24407
2003,The League of Extraordinary Gentlemen ,5.8,141533
2013,Despicable Me 2 ,7.5,286877
1996,Independence Day ,6.9,430055
1997,The Lost World: Jurassic Park ,6.5,278362
2005,Madagascar ,6.9,266636
2006,Children of Men ,7.9,361767
2000,X-Men ,7.4,452928
2008,Wanted ,6.7,299852
1996,The Rock ,7.4,259492
2006,Ice Age: The Meltdown ,6.9,194249
2004,50 First Dates ,6.8,266103
2007,Hairspray ,6.7,98693
2004,Exorcist: The Beginning ,5.1,28635
1999,Inspector Gadget ,4.1,36491
2013,Now You See Me ,7.3,447979
2010,Grown Ups ,6,181443
2004,The Terminal ,7.3,303864
,Constantine             ,7.5,36919
2009,Hotel for Dogs ,5.4,16271
2000,Vertical Limit ,5.9,49536
2007,Charlie Wilson's War ,7.1,88451
2004,Shark Tale ,6,132415
2006,Dreamgirls ,6.5,55901
,Life             ,8.3,29450
2005,Be Cool ,5.7,59435
2005,Munich ,7.6,176936
2003,Tears of the Sun ,6.6,93494
2010,Killers ,5.4,72867
2015,The Man from U.N.C.L.E. ,7.3,175960
2004,Spanglish ,6.5,65668
2006,Monster House ,6.6,71137
2001,Bandits ,6.6,57038
1995,First Knight ,5.9,55350
1999,Anna and the King ,6.7,31080
2011,Immortals ,6.1,138190
2005,Hostage ,6.6,93790
2000,Titan A.E. ,6.6,52244
2003,Hollywood Homicide ,5.3,31293
1998,Soldier ,6,44248
2009,Carriers ,6,35510
2001,Monkeybone ,4.7,14280
2004,Flight of the Phoenix ,6.1,45815
2000,Unbreakable ,7.2,245152
2015,Minions ,6.4,142403
2011,Sucker Punch ,6.1,197584
1998,Snake Eyes ,5.9,64121
1998,Sphere ,6,81611
2016,The Angry Birds Movie ,6.3,27130
2008,Fool's Gold ,5.6,59352
2009,Funny People ,6.4,100837
2007,The Kingdom ,7.1,101386
2006,Talladega Nights: The Ballad of Ricky Bobby ,6.6,130776
2001,Dr. Dolittle 2 ,4.6,33884
1995,Braveheart ,8.4,736638
2005,Jarhead ,7.1,143525
2007,The Simpsons Movie ,7.4,259083
2001,The Majestic ,6.9,45031
2001,Driven ,4.5,34435
2004,Two Brothers ,7.1,11798
2004,The Village ,6.5,193770
1998,Doctor Dolittle ,5.3,74343
2002,Signs ,6.7,271592
2004,Shrek 2 ,7.2,314630
2006,Cars ,7.2,263853
1999,Runaway Bride ,5.5,74274
2002,xXx ,5.8,142569
2015,The SpongeBob Movie: Sponge Out of Water ,6,34359
1996,Ransom ,6.6,98989
2009,Inglourious Basterds ,8.3,885175
1991,Hook ,6.7,182802
2014,Hercules ,6,115687
1990,Die Hard 2 ,7.1,269858
2003,S.W.A.T. ,6,119807
,Sleepy Hollow             ,7.5,49049
2001,Vanilla Sky ,6.9,206776
2006,Lady in the Water ,5.6,78635
2004,AVP: Alien vs. Predator ,5.6,143628
2009,Alvin and the Chipmunks: The Squeakquel ,4.5,31649
2002,We Were Soldiers ,7.1,103241
2013,Olympus Has Fallen ,6.5,203154
1998,Star Trek: Insurrection ,6.4,56741
2011,Battle Los Angeles ,5.8,154955
2003,Big Fish ,8,350698
1994,Wolf ,6.2,43559
2011,War Horse ,7.2,116159
2014,The Monuments Men ,6.1,102248
1989,The Abyss ,7.6,131217
2010,Wall Street: Money Never Sleeps ,6.3,84118
2014,Dracula Untold ,6.3,138582
1998,The Siege ,6.3,58023
2007,Stardust ,7.7,212085
1997,Seven Years in Tibet ,7,96385
2011,The Dilemma ,5.3,43709
2002,Bad Company ,5.6,39659
2005,Doom ,5.2,88146
2002,I Spy ,5.4,41663
2012,Underworld: Awakening ,6.4,117096
2012,Rock of Ages ,5.9,61995
2002,Hart's War ,6.3,43651
2011,Killer Elite ,6.5,105556
2002,Rollerball ,3,22264
2002,Ballistic: Ecks vs. Sever ,3.6,16761
1998,Hard Rain ,5.8,26893
2001,Osmosis Jones ,6.2,25572
2013,Legends of Oz: Dorothy's Return ,5.6,5116
2015,Blackhat ,5.4,38983
2004,Sky Captain and the World of Tomorrow ,6.1,72868
2006,Basic Instinct 2 ,4.2,31124
2013,Escape Plan ,6.7,177653
2014,The Legend of Hercules ,4.2,44891
2002,The Sum of All Fears ,6.4,86504
2010,The Twilight Saga: Eclipse ,4.9,184637
2001,The Score ,6.8,101899
2010,Despicable Me ,7.7,385943
1995,Money Train ,5.6,32224
2015,Ted 2 ,6.4,117739
2009,Agora ,7.2,52496
1999,Mystery Men ,6,53970
2011,Hall Pass ,5.9,103230
1999,The Insider ,7.9,133526
2016,The Finest Hours ,6.8,27481
2008,Body of Lies ,7.1,174248
2010,Dinner for Schmucks ,5.9,80338
2012,Abraham Lincoln: Vampire Hunter ,5.9,128629
1999,Entrapment ,6.2,88132
,Last Man Standing             ,7.4,15114
1998,The X Files ,7,85720
2007,The Last Legion ,5.4,29285
1998,Saving Private Ryan ,8.6,881236
2014,Need for Speed ,6.5,136954
2000,What Women Want ,6.4,158864
2002,Ice Age ,7.6,328159
2003,Dreamcatcher ,5.5,75573
2012,Lincoln ,7.4,197412
1999,The Matrix ,8.7,1217752
1995,Apollo 13 ,7.6,208817
1990,Total Recall ,7.5,240241
2002,The Santa Clause 2 ,5.5,34561
2012,Les Misérables ,7.6,243834
1998,You've Got Mail ,6.5,151812
2008,Step Brothers ,6.9,212499
1998,The Mask of Zorro ,6.7,135404
2010,Due Date ,6.6,272789
2014,Unbroken ,7.2,103589
2000,Space Cowboys ,6.4,60165
1993,Cliffhanger ,6.4,96096
1996,Broken Arrow ,6,77390
2000,The Kid ,6.1,34473
2006,World Trade Center ,6,67395
2003,Mona Lisa Smile ,6.4,61490
2012,The Dictator ,6.4,213863
1999,Eyes Wide Shut ,7.3,227071
2014,Annie ,5.2,24735
2015,Focus ,6.6,149337
2012,This Means War ,6.3,147641
2004,Blade: Trinity ,5.9,132954
1984,Red Dawn ,6.4,41776
1998,Primary Colors ,6.7,23940
2012,Resident Evil: Retribution ,5.4,104831
2008,Death Race ,6.4,166610
1996,The Long Kiss Goodnight ,6.7,60508
2000,Proof of Life ,6.2,49300
2005,Zathura: A Space Adventure ,6.1,67707
1999,Fight Club ,8.8,1347461
2006,We Are Marshall ,7.1,46951
,The Missing             ,8.1,8739
1991,Hudson Hawk ,5.7,43376
2000,Lucky Numbers ,5,8560
2014,"I, Frankenstein ",5.1,65709
2005,Oliver Twist ,6.9,25474
2005,Elektra ,4.8,71202
2014,Sin City: A Dame to Kill For ,6.5,111102
1999,Random Hearts ,5.1,17025
2015,Everest ,7.1,134625
